cropDbId,locationDbId,key,value
1,6,altern,MARANK
1,7,altern,SHIRANI
1,8,altern,BETALT
1,9,altern,BETBAJ
1,10,altern,OVIRI
1,11,altern,PTOCOPA
1,12,altern,SNPEDRO
1,1,local,San Ramon
1,4,local,Gurue
1,5,local,Umbeluzi
1,6,local,San Miguel Centro Marankiari
1,7,local,Shirani
1,8,local,Betania
1,9,local,Betania
1,10,local,Nuevaluz Oviri
1,11,local,Puerto Ocopa
1,12,local,San Pedro
1,13,local,Fumesua
1,14,local,Komenda
1,15,local,Tono dam
1,16,local,NaCRRI
1,17,local,NaSARRI
1,1,cont,South America
1,4,cont,Africa
1,5,cont,Africa
1,6,cont,South America
1,7,cont,South America
1,8,cont,South America
1,9,cont,South America
1,10,cont,South America
1,11,cont,South America
1,12,cont,South America
1,13,cont,Africa
1,14,cont,Africa
1,15,cont,Africa
1,16,cont,Africa
1,17,cont,Africa
1,1,creg,LAC
1,3,creg,NA
1,4,creg,SSA
1,5,creg,SSA
1,6,creg,LAC
1,7,creg,LAC
1,8,creg,LAC
1,9,creg,LAC
1,10,creg,LAC
1,11,creg,LAC
1,12,creg,LAC
1,13,creg,SSA
1,14,creg,SSA
1,15,creg,SSA
1,16,creg,SSA
1,17,creg,SSA
1,1,adm3,San Ramon
1,4,adm3,Gurue
1,5,adm3,Umbeluzi
1,6,adm3,Perené
1,7,adm3,Pichanaki
1,8,adm3,Rio Tambo
1,9,adm3,Rio Tambo
1,10,adm3,Rio Tambo
1,11,adm3,Rio Tambo
1,12,adm3,Coviriali
1,1,adm2,Chanchamayo
1,4,adm2,Gurue
1,5,adm2,Boane
1,6,adm2,Chanchamayo
1,7,adm2,Chanchamayo
1,8,adm2,Satipo
1,9,adm2,Satipo
1,10,adm2,Satipo
1,11,adm2,Satipo
1,12,adm2,Satipo
1,13,adm2,Ejisu-Juaben
1,15,adm2,Kassena-Nankana
1,1,adm1,Junin
1,4,adm1,Zambezia
1,5,adm1,Maputo
1,6,adm1,Junin
1,7,adm1,Junin
1,8,adm1,Junin
1,9,adm1,Junin
1,10,adm1,Junin
1,11,adm1,Junin
1,12,adm1,Junin
1,13,adm1,Ashanti
1,14,adm1,Central
1,15,adm1,Upper East
1,17,adm1,Serere
1,1,annualTotalPrecipitation,360
1,3,annualTotalPrecipitation,6.4
1,1,annualMeanTemperature,23
1,3,annualMeanTemperature,19.2
